id,nombre_actual,nombre_comercial,categoria_nueva,subcategoria,precio_costo,precio_publico,stock,activo,url
725,Camiseta Negra 100% algodón x10,Camiseta Negra 100% algodón x10,REGALOS PERSONALIZADOS,Textil,1990.0,4975.0,1,True,https://disershop.com.uy/camisetas/camiseta-negra-x10
2153,Camiseta Niu00f1o Celeste,Camiseta Niño Celeste,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/camiseta-niu00f1o-celeste
2154,Camiseta Niu00f1o I love Dulce blanco,Camiseta Niño I love Dulce blanco,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/index.php?route=product/product&product_id=20522
2155,Camiseta Niu00f1o Rosado,Camiseta Niño Rosado,REGALOS PERSONALIZADOS,Textil,,,0,False,https://disershop.com.uy/camiseta-niu00f1o-rosado
726,Camiseta Niño Amarilla (CI-N07),Camiseta Niño Amarilla (CI-N07),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-amarilla
727,Camiseta Niño Azul Marino (CI-N04),Camiseta Niño Azul Marino (CI-N04),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-azul-marino
728,Camiseta Niño Benetton (CI-N13),Camiseta Niño Benetton (CI-N13),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-benetton
729,Camiseta Niño Blanca (CI-N01),Camiseta Niño Blanca (CI-N01),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-blanca-1
730,Camiseta Niño Francia (CI-N11),Camiseta Niño Francia (CI-N11),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-francia
731,Camiseta Niño Gris Melange (CI-N05),Camiseta Niño Gris Melange (CI-N05),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-gris-melange
732,Camiseta Niño Naranja (CI-N10),Camiseta Niño Naranja (CI-N10),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-naranja
733,Camiseta Niño Negra (CI-N02),Camiseta Niño Negra (CI-N02),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-negra
734,Camiseta Niño Roja (CI-N03),Camiseta Niño Roja (CI-N03),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-rojo
735,Camiseta Niño Subliprint Manga Larga Blanca,Camiseta Niño Subliprint Manga Larga Blanca,REGALOS PERSONALIZADOS,Textil,139.0,347.5,1,True,https://disershop.com.uy/emprendedores/sublimables/textiles/camiseta-niño-subliprint-manga-larga-blanco
736,Camiseta Niño Subliprint blanco/azul,Camiseta Niño Subliprint blanco/azul,REGALOS PERSONALIZADOS,Textil,129.0,322.5,1,True,https://disershop.com.uy/productos/sublimación/textiles/niños/camiseta-niño-subliprint-blanco-azul
737,Camiseta Niño Subliprint blanco/benetton,Camiseta Niño Subliprint blanco/benetton,REGALOS PERSONALIZADOS,Textil,129.0,322.5,1,True,https://disershop.com.uy/productos/sublimación/textiles/niños/camiseta-niño-subliprint-blanco-benetton
738,Camiseta Niño Subliprint blanco/naranja,Camiseta Niño Subliprint blanco/naranja,REGALOS PERSONALIZADOS,Textil,129.0,322.5,1,True,https://disershop.com.uy/productos/sublimación/textiles/niños/camiseta-niño-subliprint-blanco-naranja
739,Camiseta Niño Subliprint blanco/rojo,Camiseta Niño Subliprint blanco/rojo,REGALOS PERSONALIZADOS,Textil,129.0,322.5,1,True,https://disershop.com.uy/productos/sublimación/textiles/niños/camiseta-niño-subliprint-blanco-rojo
740,Camiseta Niño Verde (CI-N08),Camiseta Niño Verde (CI-N08),REGALOS PERSONALIZADOS,Textil,199.0,497.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-verde
741,Camiseta Niño manga larga c/puño Blanca,Camiseta Niño manga larga c/puño Blanca,REGALOS PERSONALIZADOS,Textil,279.0,697.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-manga-larga-con-puño-blanco
742,Camiseta Niño manga larga c/puño Negra,Camiseta Niño manga larga c/puño Negra,REGALOS PERSONALIZADOS,Textil,279.0,697.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-manga-larga-con-puño-negro
743,Camiseta Niño manga larga con puño Azul marino,Camiseta Niño manga larga con puño Azul marino,REGALOS PERSONALIZADOS,Textil,279.0,697.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-manga-larga-con-puño-azul-marino
744,Camiseta Niño manga larga con puño Gris melange,Camiseta Niño manga larga con puño Gris melange,REGALOS PERSONALIZADOS,Textil,279.0,697.5,1,True,https://disershop.com.uy/productos/vestimenta/camisetas/línea-infantil/camiseta-niño-manga-larga-con-puño-gris-melange-1
745,Camiseta Oversize Beige,Camiseta Oversize Beige,REGALOS PERSONALIZADOS,Textil,469.0,1172.5,1,True,https://disershop.com.uy/vestimenta/hombre/camisetas/camiseta-oversize-beige
746,Camiseta Oversize Blanco,Camiseta Oversize Blanco,REGALOS PERSONALIZADOS,Textil,469.0,1172.5,1,True,https://disershop.com.uy/vestimenta/hombre/camisetas/camiseta-oversize-blanco
